iter	Passed	Remaining
157	1083	5773
158	1089	5763
159	1097	5760
160	1103	5752
161	1111	5747
162	1117	5740
163	1124	5733
164	1131	5726
165	1137	5717
166	1145	5711
167	1151	5703
168	1157	5690
169	1163	5679
170	1168	5666
171	1173	5651
172	1179	5640
173	1185	5626
174	1190	5613
175	1196	5603
176	1202	5592
177	1208	5579
178	1214	5569
179	1220	5558
180	1226	5549
181	1232	5538
182	1238	5527
183	1244	5518
184	1250	5507
185	1256	5497
186	1262	5489
187	1268	5476
188	1273	5465
189	1279	5455
190	1285	5443
191	1291	5435
192	1297	5424
193	1302	5412
194	1308	5402
195	1313	5389
196	1319	5379
197	1325	5370
198	1332	5362
199	1338	5352
200	1344	5344
201	1350	5334
202	1356	5324
203	1362	5315
204	1368	5306
205	1374	5297
206	1380	5288
207	1386	5277
208	1392	5269
209	1397	5258
210	1403	5248
211	1409	5239
212	1415	5228
213	1420	5218
214	1426	5208
215	1431	5197
216	1437	5187
217	1443	5178
218	1449	5168
219	1455	5160
220	1461	5150
221	1467	5142
222	1473	5134
223	1478	5123
224	1484	5114
225	1491	5107
226	1496	5097
227	1502	5088
228	1508	5079
229	1514	5069
230	1520	5060
231	1525	5049
232	1530	5039
233	1537	5032
234	1542	5022
235	1548	5012
236	1554	5004
237	1560	4994
238	1565	4984
239	1571	4977
240	1577	4966
241	1582	4956
242	1588	4948
243	1594	4939
244	1599	4930
245	1605	4922
246	1611	4912
247	1617	4903
248	1622	4893
249	1627	4883
250	1633	4875
251	1639	4867
252	1645	4858
253	1651	4851
254	1657	4841
255	1662	4831
256	1668	4823
257	1674	4814
258	1679	4804
259	1685	4796
260	1690	4787
261	1695	4777
262	1702	4770
263	1707	4760
264	1713	4752
265	1719	4745
266	1725	4736
267	1731	4730
268	1737	4721
269	1742	4711
270	1748	4703
271	1753	4693
272	1758	4684
273	1765	4676
274	1770	4667
275	1775	4658
276	1781	4650
277	1786	4640
278	1792	4632
279	1798	4624
280	1803	4615
281	1809	4606
282	1814	4596
283	1819	4587
284	1824	4577
285	1830	4569
286	1836	4562
287	1841	4553
288	1847	4544
289	1852	4535
290	1857	4526
291	1863	4518
292	1868	4509
293	1874	4500
294	1880	4493
295	1885	4483
296	1890	4474
297	1896	4466
298	1901	4458
299	1906	4449
300	1912	4441
301	1918	4434
302	1923	4425
303	1929	4417
304	1934	4409
305	1940	4400
306	1946	4394
307	1951	4385
308	1957	4377
309	1963	4369
310	1968	4361
311	1973	4352
312	1979	4345
313	1985	4337
314	1990	4328
315	1996	4321
316	2001	4312
317	2006	4304
318	2012	4296
319	2017	4288
320	2023	4279
321	2028	4271
322	2033	4263
323	2039	4254
324	2044	4247
325	2050	4238
326	2056	4231
327	2062	4224
328	2068	4218
329	2074	4211
330	2080	4204
331	2085	4196
332	2091	4189
333	2098	4183
334	2103	4176
335	2110	4170
336	2115	4162
337	2121	4154
338	2127	4148
339	2132	4140
340	2137	4131
341	2144	4125
342	2150	4118
343	2155	4110
344	2161	4104
345	2167	4096
346	2172	4088
347	2178	4080
348	2183	4072
349	2189	4065
350	2194	4057
351	2199	4049
352	2205	4042
353	2211	4035
354	2216	4027
355	2222	4020
356	2228	4013
357	2233	4005
358	2240	3999
359	2245	3991
360	2250	3984
361	2257	3978
362	2262	3970
363	2267	3962
364	2273	3955
365	2279	3948
366	2285	3941
367	2290	3934
368	2296	3926
369	2301	3919
370	2307	3912
371	2312	3904
372	2319	3898
373	2324	3890
374	2329	3883
375	2335	3875
376	2340	3868
377	2345	3860
378	2351	3852
379	2357	3846
380	2362	3838
381	2368	3831
382	2374	3824
383	2379	3816
384	2384	3809
385	2390	3801
386	2395	3794
387	2401	3787
388	2406	3780
389	2411	3772
390	2417	3765
391	2423	3758
392	2428	3751
393	2434	3744
394	2440	3737
395	2445	3729
396	2451	3723
397	2456	3716
398	2462	3708
399	2468	3702
400	2473	3694
401	2478	3687
402	2484	3680
403	2489	3673
404	2495	3666
405	2501	3659
406	2506	3652
407	2511	3644
408	2517	3638
409	2523	3630
410	2528	3623
411	2534	3617
412	2540	3610
413	2545	3603
414	2551	3596
415	2556	3589
